year,international,financial_aid,SA
2022,No,Yes,0
2021,No,Yes,-0.999723971
2021,No,Prefer not to say,-0.991613269
2022,No,Yes,0
2024,No,No,0
2021,Yes,Yes,-0.831037581
2022,No,No,-0.999372005
2023,No,Yes,0
2021,No,No,0
2024,No,Yes,-0.99975878
2024,No,Yes,-0.60991323
2024,No,Yes,0
2022,No,Yes,0
2024,No,Yes,-0.998994231
2023,No,Yes,-0.958758295
2023,Yes,Yes,-0.983280718
2024,No,No,0.994545162
2024,No,Yes,0.999693692
2023,No,Yes,0.889991939
2021,No,No,0
2024,No,Yes,-0.999142468
2023,No,No,0
2022,No,No,-0.992215455
2024,No,No,-0.99951756
2021,No,Yes,0
2024,No,No,0
2022,Yes,Yes,0
2023,No,Yes,0
2021,No,No,0
2024,No,No,-0.999794126
2023,No,Yes,0
2024,No,Yes,-0.995305121
2023,No,No,0
2023,No,Yes,-0.979161859
2021,No,Yes,0
2021,No,Yes,-0.9978742
2023,No,No,0
2023,No,Yes,-0.999645472
2021,No,No,-0.965657413
2024,Yes,Yes,0
2022,No,Yes,0
2021,No,Yes,-0.958390296
2024,No,Yes,0
2022,Yes,Yes,0
2023,No,Yes,0
2024,No,Yes,0
2021,No,Yes,0
2022,No,No,0
2021,No,No,0.928159952
2023,No,Yes,0
2024,No,No,0
2024,No,Yes,-0.697056353
2024,Yes,Yes,-0.988484085
2024,No,Yes,0
2021,No,Yes,-0.998483002
2021,Yes,No,0
2023,No,No,0
2024,Yes,Yes,0
2024,No,Yes,0.944429696
2023,No,Yes,-0.99949497
2024,No,No,-0.999364614
2021,No,No,-0.998315811
2023,No,Yes,0
2023,Yes,Yes,0
2022,No,No,0
2022,No,Yes,0
2023,No,Yes,-0.947713435
2023,No,No,-0.999439001
2021,No,No,0
2024,No,Yes,0
2024,No,No,0
2021,No,Yes,0
2021,No,Yes,-0.953042924
2021,No,Yes,0
2021,No,Yes,0
2021,No,No,-0.999764323
2024,No,Yes,0
2024,No,Yes,-0.998720586
2022,No,No,0
2021,Yes,Yes,0
2021,No,No,0
2021,No,No,0
2023,No,No,0
2021,No,Yes,-0.995101333
2024,No,Yes,0.649846315
2024,No,Yes,0
2021,No,Yes,0.9988603
Other,Yes,Prefer not to say,0
2024,No,Yes,0
2024,No,No,0
2021,Yes,No,-0.999499083
2021,No,No,-0.995352626
2021,No,No,0
2024,Yes,Yes,0
2022,No,Yes,0
2024,No,Yes,0
2022,No,Yes,0
2024,No,Yes,-0.999391615
2022,No,No,-0.997398496
2024,No,Yes,0
2021,Yes,No,0
2024,No,Yes,0
2024,No,No,0.968950987
2021,No,No,0
2024,No,No,0.995181322
2021,Yes,No,0
2021,No,Prefer not to say,0
2023,No,Yes,0.967683017
2021,No,No,-0.99977845
2022,Yes,No,0
2024,No,Yes,0
2024,Yes,Yes,-0.887131751
2021,No,Yes,0
2021,No,Yes,0
2024,No,No,0
2024,No,No,-0.997312903
2021,No,Yes,0
2023,No,No,-0.999801397
2023,No,No,0
2021,No,Yes,0
2024,No,Yes,0.993852735
2021,No,Yes,0.986617208
2021,No,Yes,-0.998655617
2024,No,Yes,0.999793291
2021,No,Yes,0
2023,No,Yes,-0.999486923
2021,No,No,0.999178171
2022,Yes,Yes,0
2021,No,No,0
2024,Yes,Yes,0.999751627
2021,No,No,-0.996170521
2021,No,Yes,0
2021,No,Yes,0
2021,No,Yes,0
2024,No,No,0
2023,No,Yes,-0.998625278
2023,No,Yes,0
2024,No,Yes,-0.989756167
2024,No,Yes,-0.996749341
2021,No,Yes,0
2024,No,No,0
2024,No,Yes,-0.998700559
2023,No,Yes,0
2023,No,No,-0.993132532
2024,No,No,0
2023,No,,0
